file	lines	category	action	reason	has_oas	ref_count
spawn.ml	482	infrastructure	active	referenced_infra	no	15
sse_room_filter.ml	63	infrastructure	active	referenced_infra	no	1
sse.ml	250	infrastructure	active	referenced_infra	no	24
streamable_http.ml	223	infrastructure	active	referenced_infra	no	1
subscriptions.ml	292	infrastructure	active	referenced_infra	no	4
subsystem.ml	8	infrastructure	archive	unreferenced_infra	no	0
succession_oas.ml	687	oas_bridge	active	oas_bridge	yes	2
supervisor.ml	167	infrastructure	archive	unreferenced_infra	no	0
swarm_behaviors_eio.ml	226	infrastructure	archive	unreferenced_infra	no	0
swarm_checkpoint.ml	216	infrastructure	active	referenced_infra	no	1
swarm_eio.ml	617	infrastructure	active	referenced_infra	no	1
swarm_goal_loop.ml	347	infrastructure	active	referenced_infra	no	1
swarm_status_build.ml	310	infrastructure	archive	unreferenced_infra	no	0
swarm_status_classify.ml	372	infrastructure	archive	unreferenced_infra	no	0
swarm_status_inputs.ml	75	infrastructure	archive	unreferenced_infra	no	0
swarm_status_json.ml	377	infrastructure	archive	unreferenced_infra	no	0
swarm_status_lanes.ml	198	infrastructure	archive	unreferenced_infra	no	0
swarm_status_parse.ml	103	infrastructure	archive	unreferenced_infra	no	0
swarm_status_types.ml	126	types	active	types_or_config	no	0
swarm_status.ml	9	infrastructure	active	referenced_infra	no	6
task_dispatch.ml	183	infrastructure	active	core_coordination	no	1
task_pg.ml	341	infrastructure	active	core_coordination	no	1
team_context.ml	249	infrastructure	active	referenced_infra	yes	3
team_session_engine_eio.ml	723	team_session	active	team_session	no	10
team_session_engine_helpers.ml	564	team_session	active	team_session	no	0
team_session_engine_policy.ml	426	team_session	active	team_session	no	0
team_session_engine_status.ml	560	team_session	active	team_session	no	0
team_session_report_core.ml	865	team_session	active	team_session	no	0
team_session_report_proof_helpers.ml	524	team_session	active	team_session	no	0
team_session_report_proof.ml	419	team_session	active	team_session	no	1
team_session_report.ml	3	team_session	active	team_session	no	2
